feature_file,feature_tokens,scale,metric,pct,base_backend,variant_backend,base,variant,improve_pct
aflush,aflush,0.4,e2e_ms,p90,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan+aflush,186.39619391178712,168.4454342117533,9.630432533686333
aflush,aflush,0.4,e2e_ms,p99,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+pprio1+wupcg16+pmeta+fastplan+aflush,206.47802787745604,197.2087269317126,4.489243258001645
bffwd,bffwd,0.4,ttft_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,8.06313099747058,9.232294993125834,-14.500124033976661
bffwd,bffwd,0.4,ttft_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,11.507742403773591,13.425456889672205,-16.664558682420292
bffwd,bffwd,0.4,ttft_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,14.800841882242814,20.782400037569456,-40.413634595360186
bffwd,bffwd,0.4,itl_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,1.2711859890259802,1.2746779975714162,-0.27470476984344705
bffwd,bffwd,0.4,itl_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,1.5225702081806958,1.5269562019966543,-0.28806512779461785
bffwd,bffwd,0.4,itl_ms,p99,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,2.553374816779981,2.637068543990609,-3.277768961322067
bffwd,bffwd,0.4,tpot_ms,p50,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,1.3324910677072181,1.337227035395427,-0.35542209647663037
bffwd,bffwd,0.4,tpot_ms,p90,roseinfer+chunk1024+batch16+wupcg16+pmeta+fastplan,roseinfer+chunk1024+batch16+wupcg16+bffwd+pmeta+fastplan,1.43682103293065,1.4643240475258525,-1.91415729341776
